nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALPHABET INC,CAP STK CL A,02079K305,1594152832000,10308800,,SOLE,10308800,0,0
AMAZON COM INC,COM,023135106,1253525727000,6588488,,SOLE,6588488,0,0
APOLLO GLOBAL MGMT INC,COM,03769M106,850328382000,6209496,,SOLE,6209496,0,0
APPLIED MATLS INC,COM,038222105,129911424000,895200,,SOLE,895200,0,0
APPLOVIN CORP,COM CL A,03831W108,442033553000,1668240,,SOLE,1668240,0,0
ATRENEW INC,SPONSORED ADS,00138L108,33754781000,11481218,,SOLE,11481218,0,0
BLOCK INC,CL A,852234103,102404824000,1884867,,SOLE,1884867,0,0
BROADCOM INC,COM,11135F101,380317245000,2271500,,SOLE,2271500,0,0
CORPAY INC,COM SHS,219948106,435055051000,1247577,,SOLE,1247577,0,0
COSTAR GROUP INC,COM,22160N109,257109986000,3245109,,SOLE,3245109,0,0
COUPANG INC,CL A,22266T109,292290036000,13328319,,SOLE,13328319,0,0
CROWDSTRIKE HLDGS INC,CL A,22788C105,317322000000,900000,,SOLE,900000,0,0
DOORDASH INC,CL A,25809K105,401365296000,2196013,,SOLE,2196013,0,0
ELASTIC N V,ORD SHS,N14506104,150641370000,1690700,,SOLE,1690700,0,0
ELI LILLY & CO,COM,532457108,1102556814000,1334960,,SOLE,1334960,0,0
FLUTTER ENTMT PLC,SHS,G3643J108,748261198000,3377392,,SOLE,3377392,0,0
GE VERNOVA INC,COM,36828A101,322160152000,1055294,,SOLE,1055294,0,0
GRAB HOLDINGS LIMITED,CLASS A ORD,G4124C109,420944760000,92923788,,SOLE,92923788,0,0
JD.COM INC,SPON ADS CL A,47215P106,14157986000,344309,,SOLE,344309,0,0
LAM RESEARCH CORP,COM NEW,512807306,321675690000,4424700,,SOLE,4424700,0,0
LIBERTY MEDIA CORP DEL,COM LBTY ONE S C,531229755,241406820000,2682000,,SOLE,2682000,0,0
META PLATFORMS INC,CL A,30303M102,4302607514000,7465139,,SOLE,7465139,0,0
MICROSOFT CORP,COM,594918104,2342758312000,6240865,,SOLE,6240865,0,0
NOVO-NORDISK A S,ADR,670100205,88119360000,1269000,,SOLE,1269000,0,0
NU HLDGS LTD,ORD SHS CL A,G6683N103,112973363000,11032555,,SOLE,11032555,0,0
NVIDIA CORPORATION,COM,67066G104,1188663069000,10967550,,SOLE,10967550,0,0
PDD HOLDINGS INC,SPONSORED ADS,722304102,522595846000,4415681,,SOLE,4415681,0,0
PONY AI INC,SPONSORED ADS,732908108,3263400000,370000,,SOLE,370000,0,0
PROCORE TECHNOLOGIES INC,COM,74275K108,154453790000,2339500,,SOLE,2339500,0,0
REDDIT INC,CL A,75734B100,340883040000,3249600,,SOLE,3249600,0,0
SEA LTD,SPONSORD ADS,81141R100,2093233804000,16041335,,SOLE,16041335,0,0
SERVICENOW INC,COM,81762P102,461486532000,579655,,SOLE,579655,0,0
SERVICETITAN INC,SHS CL A,81764X103,123775964000,1301398,,SOLE,1301398,0,0
SHERWIN WILLIAMS CO,COM,824348106,420485868000,1204175,,SOLE,1204175,0,0
SPOTIFY TECHNOLOGY S A,SHS,L8681T102,693841394000,1261461,,SOLE,1261461,0,0
TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,874039100,704084684000,4241474,,SOLE,4241474,0,0
TAKE-TWO INTERACTIVE SOFTWAR,COM,874054109,1210185806000,5839256,,SOLE,5839256,0,0
UBER TECHNOLOGIES INC,COM,90353T100,11014829000,151178,,SOLE,151178,0,0
UNITEDHEALTH GROUP INC,COM,91324P102,229821500000,438800,,SOLE,438800,0,0
VEEVA SYS INC,CL A COM,922475108,560660415000,2420500,,SOLE,2420500,0,0
WORKDAY INC,CL A,98138H101,439091747000,1880237,,SOLE,1880237,0,0
ZILLOW GROUP INC,CL C CAP STK,98954M200,357540400000,5215000,,SOLE,5215000,0,0
ZILLOW GROUP INC,CL A,98954M101,60350711000,902643,,SOLE,902643,0,0
ZKH GROUP LTD,SPONSORED ADS,98877R104,27454768000,8195453,,SOLE,8195453,0,0
ZSCALER INC,COM,98980G102,333147180000,1679000,,SOLE,1679000,0,0
